number,title,user,state,date_created,date_closed,numcomments,ispull
73,"make jagged_array work with numba.jit(nopython=True)",HDembinski,closed,2019-01-29T12:39:08Z,2019-07-09T11:47:24Z,6,False
72,"Implement direct argdistincts calculation",nsmith-,closed,2019-01-28T04:24:17Z,2019-01-28T14:01:01Z,2,True
71,"README.rst installation path is wrong",susanwl,closed,2019-01-27T03:40:38Z,2019-01-28T00:37:32Z,6,False
70,"Overriding subpackages",jpivarski,closed,2019-01-25T21:35:52Z,2019-01-29T18:33:56Z,19,True
69,"Max is broken",henryiii,closed,2019-01-18T10:28:45Z,2019-01-18T19:24:22Z,1,False
68,"Allow older awkwardarrys to be read in from hdf5",henryiii,closed,2019-01-18T10:17:24Z,2019-01-18T19:16:37Z,1,True
67,"Reading hdf5 and older schemas",henryiii,closed,2019-01-18T10:12:26Z,2019-01-18T19:13:50Z,4,False
66,"Fix error sent by email",jpivarski,closed,2019-01-17T15:41:20Z,2019-01-17T15:57:20Z,1,True
65,"Implement nested parquet writing",martindurant,closed,2019-01-14T14:23:56Z,2019-07-09T11:44:40Z,1,False
64,"[skip ci] Implementation of awkward-numba package.",DumbMachine,closed,2019-01-10T16:47:06Z,2019-01-25T19:21:22Z,9,True
63,"Proposal: jit-compilation if numba available",nsmith-,closed,2019-01-08T23:59:56Z,2019-07-09T11:45:34Z,1,False
62,"Forbid in place operations",jpivarski,closed,2019-01-04T22:51:46Z,2019-01-04T23:02:59Z,0,True
61,"Issue 59",jpivarski,closed,2018-12-13T02:41:51Z,2018-12-13T03:03:49Z,0,True
60,"Feature particle matching example",jpivarski,closed,2018-12-12T22:24:06Z,2018-12-12T23:08:09Z,0,True
59,"numpy functions on jagged arrays don't produce compatible arrays",jpata,closed,2018-12-12T20:59:11Z,2018-12-13T03:03:50Z,10,False
58,"Tuples of lists of indices does not work as in numpy",lgray,closed,2018-12-10T21:19:03Z,2018-12-11T05:03:12Z,7,False
57,"Feature generate fromiter",jpivarski,closed,2018-12-08T13:58:46Z,2018-12-08T22:23:08Z,0,True
56,"Issue 51 (slowdowns) still alive for TLorentzVectors",lgray,closed,2018-12-03T13:59:17Z,2018-12-12T21:52:57Z,9,False
55,"Cannot perform nested ufunc math on jagged arrays",lgray,closed,2018-12-03T11:35:41Z,2018-12-03T12:10:58Z,5,False
54,"Fix boolean jagged array reductions (`any` and `all`) when `_canuseoffset()`",benkrikler,closed,2018-12-03T05:43:34Z,2018-12-03T14:13:23Z,2,True
53,"Bad dtype specification for `JaggedArray.any` and `JaggedArray.all`",benkrikler,closed,2018-12-03T05:43:21Z,2018-12-03T14:13:44Z,0,False
52,"Issue 51",jpivarski,closed,2018-12-03T00:37:23Z,2018-12-03T00:48:35Z,0,True
51,"Slow accessor in nested jagged table",nsmith-,closed,2018-12-02T14:57:47Z,2018-12-03T00:37:56Z,4,False
50,"Issue 49",jpivarski,closed,2018-11-30T19:21:13Z,2018-11-30T20:39:27Z,0,True
49,"Wrong return values when masking?",lgray,closed,2018-11-30T15:24:06Z,2018-11-30T19:29:40Z,1,False
48,"Issue empty pairs drops columns",jpivarski,closed,2018-11-29T19:37:22Z,2018-11-29T20:03:04Z,0,True
47,"JaggedArray second dimension fancy indexing",jpivarski,closed,2018-11-28T19:04:34Z,2018-11-28T20:44:14Z,1,False
46,"cross, pairs, distincts must share column numbers",jpivarski,closed,2018-11-28T17:28:11Z,2018-11-28T20:07:15Z,1,False
