date,country,count
2017-01-16,other,1518
2017-01-17,CH,63
2017-01-17,US,1357
2017-01-17,other,1399
2017-01-18,CH,117
2017-01-18,US,2312
2017-01-18,other,1840
2017-01-19,CH,89
2017-01-19,US,2658
2017-01-19,other,2628
2017-01-20,CH,73
2017-01-20,US,1371
2017-01-20,other,1314
2017-01-21,CH,106
2017-01-21,US,564
2017-01-21,other,292
2017-01-22,CH,62
2017-01-22,US,548
2017-01-22,other,1230
2017-01-23,CH,124
2017-01-23,US,1869
2017-01-23,other,2796
2017-01-24,CH,123
2017-01-24,US,2610
2017-01-24,other,3001
2017-01-25,CH,157
2017-01-25,US,3509
2017-01-25,other,2567
2017-01-26,CH,362
2017-01-26,US,2071
2017-01-26,other,4431
2017-01-27,CH,110
2017-01-27,US,2056
2017-01-27,other,2096
2017-01-28,CH,50
2017-01-28,US,575
2017-01-28,other,1184
2017-01-29,CH,61
2017-01-29,US,769
2017-01-29,other,894
2017-01-30,CH,149
2017-01-30,US,2210
2017-01-30,other,1939
2017-01-31,CH,114
2017-01-31,US,1728
2017-01-31,other,2172
2017-02-01,CH,116
2017-02-01,US,1546
2017-02-01,other,2735
2017-02-02,CH,406
2017-02-02,US,1332
2017-02-02,other,3298
2017-02-03,CH,221
2017-02-03,US,2289
2017-02-03,other,2564
2017-02-04,CH,37
2017-02-04,US,454
2017-02-04,other,1318
2017-02-05,CH,68
2017-02-05,US,456
2017-02-05,other,1105
2017-02-06,CH,137
2017-02-06,US,1532
2017-02-06,other,3936
2017-02-07,CH,318
2017-02-07,US,1942
2017-02-07,other,2438
2017-02-08,CH,220
2017-02-08,US,1864
2017-02-08,other,1880
2017-02-09,CH,224
2017-02-09,US,1594
2017-02-09,other,1750
2017-02-10,CH,2244
2017-02-10,US,2627
2017-02-10,other,1786
2017-02-11,CH,42
2017-02-11,US,871
2017-02-11,other,1092
2017-02-12,CH,89
2017-02-12,US,1056
2017-02-12,other,1063
2017-02-13,CH,256
2017-02-13,US,1868
2017-02-13,other,2258
2017-02-14,CH,127
2017-02-14,US,2003
2017-02-14,other,2143
2017-02-15,CH,115
2017-02-15,US,2034
2017-02-15,other,1998
2017-02-16,CH,205
2017-02-16,US,2917
2017-02-16,other,2230
2017-02-17,CH,139
2017-02-17,US,1354
2017-02-17,other,2126
2017-02-18,CH,65
2017-02-18,US,492
2017-02-18,other,501
2017-02-19,CH,83
2017-02-19,US,684
2017-02-19,other,1050
2017-02-20,CH,176
2017-02-20,US,2396
2017-02-20,other,2113
2017-02-21,CH,164
2017-02-21,US,3197
2017-02-21,other,2238
2017-02-22,CH,786
2017-02-22,US,1954
2017-02-22,other,1750
2017-02-23,CH,172
2017-02-23,US,2007
2017-02-23,other,1786
2017-02-24,CH,68
2017-02-24,US,1900
2017-02-24,other,2023
2017-02-25,CH,46
2017-02-25,US,1245
2017-02-25,other,479
2017-02-26,CH,266
2017-02-26,US,935
2017-02-26,other,692
2017-02-27,CH,152
2017-02-27,US,1751
2017-02-27,other,2055
2017-02-28,CH,557
2017-02-28,US,3288
2017-02-28,other,2488
2017-03-01,CH,169
2017-03-01,US,3049
2017-03-01,other,2777
2017-03-02,CH,215
2017-03-02,US,2662
2017-03-02,other,2033
2017-03-03,CH,213
2017-03-03,US,2185
2017-03-03,other,5863
2017-03-04,CH,110
2017-03-04,US,1553
2017-03-04,other,1210
2017-03-05,CH,145
2017-03-05,US,540
2017-03-05,other,1060
2017-03-06,CH,118
2017-03-06,US,1306
2017-03-06,other,2347
2017-03-07,CH,109
2017-03-07,US,1863
2017-03-07,other,2703
2017-03-08,CH,185
2017-03-08,US,2331
2017-03-08,other,2417
2017-03-09,CH,145
2017-03-09,US,2007
2017-03-09,other,2206
2017-03-10,CH,179
2017-03-10,US,1435
2017-03-10,other,2934
2017-03-11,CH,43
2017-03-11,US,509
2017-03-11,other,1187
2017-03-12,CH,87
2017-03-12,US,746
2017-03-12,other,1375
2017-03-13,CH,222
2017-03-13,US,1976
2017-03-13,other,2230
2017-03-14,CH,194
2017-03-14,US,1707
2017-03-14,other,1580
2017-03-15,CH,518
2017-03-15,US,1422
2017-03-15,other,1496
2017-03-16,CH,158
2017-03-16,US,1602
2017-03-16,other,2779
2017-03-17,CH,151
2017-03-17,US,5155
2017-03-17,other,1741
2017-03-18,CH,91
2017-03-18,US,643
2017-03-18,other,584
2017-03-19,CH,82
2017-03-19,US,573
2017-03-19,other,658
2017-03-20,CH,152
2017-03-20,US,1778
2017-03-20,other,1356
2017-03-21,CH,340
2017-03-21,US,2056
2017-03-21,other,1826
2017-03-22,CH,593
2017-03-22,US,3125
2017-03-22,other,2151
2017-03-23,CH,579
2017-03-23,US,3462
2017-03-23,other,1592
2017-03-24,CH,2286
2017-03-24,US,2044
2017-03-24,other,1886
2017-03-25,CH,64
2017-03-25,US,483
2017-03-25,other,346
2017-03-26,CH,88
2017-03-26,US,398
2017-03-26,other,796
2017-03-27,CH,1284
2017-03-27,US,1578
2017-03-27,other,1358
2017-03-28,CH,116
2017-03-28,US,1666
2017-03-28,other,1577
2017-03-29,CH,219
2017-03-29,US,2866
2017-03-29,other,2420
2017-03-30,CH,315
2017-03-30,US,2458
2017-03-30,other,2409
2017-03-31,CH,623
2017-03-31,US,1465
2017-03-31,other,3957
2017-04-01,CH,79
2017-04-01,US,479
2017-04-01,other,864
2017-04-02,CH,97
2017-04-02,US,410
2017-04-02,other,412
2017-04-03,CH,124
2017-04-03,US,1854
2017-04-03,other,2331
2017-04-04,CH,98
2017-04-04,US,1676
2017-04-04,other,1925
2017-04-05,CH,495
2017-04-05,US,1990
2017-04-05,other,6120
2017-04-06,CH,111
2017-04-06,US,1390
2017-04-06,other,2469
2017-04-07,CH,594
2017-04-07,US,1869
2017-04-07,other,5060
2017-04-08,CH,37
2017-04-08,US,978
2017-04-08,other,1214
2017-04-09,CH,44
2017-04-09,US,1819
2017-04-09,other,932
2017-04-10,CH,168
2017-04-10,US,2783
2017-04-10,other,2227
2017-04-11,CH,251
2017-04-11,US,2154
2017-04-11,other,2269
2017-04-12,CH,263
2017-04-12,US,3050
2017-04-12,other,2361
2017-04-13,CH,145
2017-04-13,US,2682
2017-04-13,other,1878
2017-04-14,CH,142
2017-04-14,US,1603
2017-04-14,other,1113
2017-04-15,CH,55
2017-04-15,US,957
2017-04-15,other,538
2017-04-16,CH,90
2017-04-16,US,788
2017-04-16,other,424
2017-04-17,CH,133
2017-04-17,US,2039
2017-04-17,other,1468
2017-04-18,CH,261
2017-04-18,US,2464
2017-04-18,other,2177
2017-04-19,CH,236
2017-04-19,US,2277
2017-04-19,other,1792
2017-04-20,CH,910
2017-04-20,US,2139
2017-04-20,other,1872
2017-04-21,CH,274
2017-04-21,US,2284
2017-04-21,other,1857
2017-04-22,CH,45
2017-04-22,US,410
2017-04-22,other,250
2017-04-23,CH,55
2017-04-23,US,323
2017-04-23,other,473
2017-04-24,CH,104
2017-04-24,US,1284
2017-04-24,other,2269
2017-04-25,CH,179
2017-04-25,US,1601
2017-04-25,other,1605
2017-04-26,CH,245
2017-04-26,US,1446
2017-04-26,other,3194
2017-04-27,CH,427
2017-04-27,US,1646
2017-04-27,other,2756
2017-04-28,CH,113
2017-04-28,US,1244
2017-04-28,other,2903
2017-04-29,CH,35
2017-04-29,US,368
2017-04-29,other,413
2017-04-30,CH,72
2017-04-30,US,420
2017-04-30,other,1359
2017-05-01,CH,61
2017-05-01,US,1721
2017-05-01,other,1091
2017-05-02,CH,83
2017-05-02,US,1745
